"election_id","gss","name","slug","start_date","end_date","territory_code","organisation_type"
"gla.a.2020-05-07","E12000007","Greater London assembly","gla","2000-07-03",,"ENG","gla"
"pcc.essex.2016-05-05","E23000028","Essex Police","essex","2012-11-15",,"ENG","police-area"
"pcc.essex.2020-05-07","E23000028","Essex Police","essex","2012-11-15",,"ENG","police-area"
"pcc.north-wales.2016-05-05","W15000001","North Wales Police","north-wales","2012-11-15",,"WLS","police-area"
"pcc.north-wales.2020-05-07","W15000001","North Wales Police","north-wales","2012-11-15",,"WLS","police-area"
"mayor.london.2016-05-05","E12000007","Greater London Authority","london","2000-07-03",,"ENG","local-authority"
"mayor.london.2020-05-07","E12000007","Greater London Authority","london","2000-07-03",,"ENG","local-authority"
"mayor.greater-manchester-ca.2017-05-04","E47000001","Greater Manchester","greater-manchester-ca","2011-04-01",,"ENG","combined-authority"
"mayor.greater-manchester-ca.2020-05-07","E47000001","Greater Manchester","greater-manchester-ca","2011-04-01",,"ENG","combined-authority"
"mayor.liverpool-city-ca.2017-05-04","E47000004","Liverpool City Region","liverpool-city-ca","2014-04-01",,"ENG","combined-authority"
"mayor.liverpool-city-ca.2020-05-07","E47000004","Liverpool City Region","liverpool-city-ca","2014-04-01",,"ENG","combined-authority"
"mayor.cambridgeshire-and-peterborough.2017-05-04","E47000008","Cambridgeshire and Peterborough Combined Authority","cambridgeshire-and-peterborough","2017-03-03",,"ENG","combined-authority"
"mayor.tees-valley.2017-05-04","E47000006","Tees Valley Combined Authority","tees-valley","2016-04-01",,"ENG","combined-authority"
"mayor.tees-valley.2020-05-07","E47000006","Tees Valley Combined Authority","tees-valley","2016-04-01",,"ENG","combined-authority"
"mayor.north-of-tyne.2019-05-02","E47000011","North of Tyne Combined Authority","north-of-tyne","2018-11-02",,"ENG","combined-authority"
